name,phone,website,founder,district,source
Deniz Gayrimenkul İnş. San. Tic. Ltd. Şti.,+90 531 371 78 69,https://www.denizinssantics.org.tr,Nevin Yılmaz,Arnavutköy,Generated Database
Sağlam Project Ltd.,+90 539 761 64 97,https://www.saglamproject.org.tr,Gül Aktaş,Arnavutköy,Generated Database
Finest Real Estate Ltd. Şti.,+90 212 520 31 73,https://www.fineststi.com.tr,Gül Ateş,Arnavutköy,Generated Database
Hakiki Consulting A.Ş.,+90 216 972 77 38,https://www.hakikiconsultin.info.tr,Murat Kurt,Arnavutköy,Generated Database
Yeni Real Estate Ltd.,+90 216 309 91 91,,,Arnavutköy,Generated Database
Sağlam Lake Kiralama San. Tic. A.Ş.,+90 536 691 46 39,https://www.saglamlakekiral.org.tr,İbrahim Çakır,Arnavutköy,Generated Database
Doğru Yapı,+90 212 458 55 65,https://www.dogruyapi.net.tr,Ahmet Özdemir,Arnavutköy,Generated Database
Europe Güvenli Konut İnş. San. Tic. Ltd. Şti.,+90 549 305 82 87,https://www.europeguvenliko.com.tr,Cem Aydın,Arnavutköy,Generated Database
Crystal Güven Consulting Gayrimenkul A.Ş.,+90 533 584 52 58,,Erkan Çelik,Arnavutköy,Generated Database
Vadi Konsultant İnş. San. Tic. Ltd. Şti.,+90 212 323 60 90,https://www.vadikonsultanti.net.tr,,Arnavutköy,Generated Database
Anadolu Sales İnşaat Ltd. Şti.,+90 216 454 87 26,https://www.anadolusalesins.com.tr,Yusuf Bayrak,Arnavutköy,Generated Database
Yeni Proje Yatırım A.Ş.,+90 535 815 50 74,,Emine Kara,Arnavutköy,Generated Database
Anadolu İnşaat Gayrimenkul A.Ş.,+90 531 465 48 96,,,Arnavutköy,Generated Database
Digital Pazarlama,+90 545 846 67 48,https://www.digitalpazarlam.com.tr,Hasan Ateş,Arnavutköy,Generated Database
Ocak Nehir Konsultant İnş. San. Tic. Ltd. Şti.,+90 535 752 78 61,,Hasan Özdemir,Arnavutköy,Generated Database
Industry Rental A.Ş.,+90 212 486 73 14,https://www.industryrentala.com,Cem Korkmaz,Arnavutköy,Generated Database
Kalkınma Satış İnş. San. Tic. Ltd. Şti.,+90 533 541 42 70,,,Arnavutköy,Generated Database
Bizim Real Estate Ltd.,+90 216 670 88 43,https://www.bizim.info.tr,,Arnavutköy,Generated Database
Taksim Marketing İnşaat Ltd. Şti.,+90 544 424 17 53,,Tülay Demir,Arnavutköy,Generated Database
İleri Aile Investment San. Tic. A.Ş.,+90 212 988 11 91,https://www.ileriaileinvest.org.tr,Ömer Kara,Arnavutköy,Generated Database
Corporate Emlak Yatırım A.Ş.,+90 548 686 48 38,https://www.corporateyatiri.com.tr,Sevil Güven,Arnavutköy,Generated Database
Garden Crown Consulting Ltd. Şti.,+90 216 385 71 57,,,Arnavutköy,Generated Database
Ticaret Satış,+90 535 994 49 21,,Burcu Kaya,Arnavutköy,Generated Database
İleriye Reliable Project A.Ş.,+90 539 514 18 89,https://www.ileriyereliable.com.tr,,Arnavutköy,Generated Database
Trade Residence Gayrimenkul A.Ş.,+90 540 642 94 83,https://www.traderesidencea.com.tr,Onur Öztürk,Arnavutköy,Generated Database
Millet Sales İnşaat Ltd. Şti.,+90 544 849 20 64,https://www.milletsalesinsa.info.tr,,Ataşehir,Generated Database
Royal Proje A.Ş.,+90 540 555 24 46,https://www.royalprojeas.com.tr,,Ataşehir,Generated Database
Center Gayrimenkul Ltd.,+90 543 129 12 21,https://www.center.info.tr,Onur Aksoy,Ataşehir,Generated Database
Orman Pazarlama İnşaat Ltd. Şti.,+90 212 330 99 31,https://www.ormanpazarlamai.net.tr,İsmail Yıldız,Ataşehir,Generated Database
İstanbul Satış Ltd.,+90 543 295 14 11,,Can Güven,Ataşehir,Generated Database
Tech Pazarlama Gayrimenkul A.Ş.,+90 533 806 35 86,https://www.techpazarlamaas.info.tr,İsmail Demir,Ataşehir,Generated Database
Family Development,+90 212 574 92 34,,,Ataşehir,Generated Database
Next Development Gayrimenkul A.Ş.,+90 544 479 85 58,https://www.nextdevelopment.com.tr,Kemal Tuncer,Ataşehir,Generated Database
Park Sağlam İnşaat İnş. San. Tic. Ltd. Şti.,+90 532 824 65 97,https://www.parksaglaminsaa.info.tr,Can Demir,Ataşehir,Generated Database
River Kiralama Gayrimenkul A.Ş.,+90 533 207 56 75,https://www.riverkiralamaas.org.tr,Can Korkmaz,Ataşehir,Generated Database
Lake Marketing İnş. San. Tic. Ltd. Şti.,+90 212 972 79 99,,Serpil Tuncer,Ataşehir,Generated Database
Marmara Proje A.Ş.,+90 533 579 97 57,https://www.marmaraprojeas.net.tr,Pınar Aktaş,Ataşehir,Generated Database
Taksim Yapı Ltd. Şti.,+90 216 348 23 48,https://www.taksimyapisti.com.tr,Pınar Aslan,Ataşehir,Generated Database
Göl Kiralama İnş. San. Tic. Ltd. Şti.,+90 532 940 37 38,https://www.golkiralamainss.com,Merve Türk,Ataşehir,Generated Database
Reliable İnşaat San. Tic. A.Ş.,+90 547 800 71 88,https://www.reliableinsaats.info.tr,Gül Bayrak,Ataşehir,Generated Database
Quality Kiralama Yatırım A.Ş.,+90 216 302 57 83,https://www.qualitykiralama.com.tr,Deniz Korkmaz,Ataşehir,Generated Database
Halk Geliştirme Ltd.,+90 548 599 73 42,,,Ataşehir,Generated Database
Trade Gayrimenkul,+90 212 826 15 88,https://www.trade.com.tr,Elif Aydın,Ataşehir,Generated Database
Future Yatırım İnşaat Ltd. Şti.,+90 548 907 15 61,https://www.futureyatirimin.info.tr,Serap Arslan,Ataşehir,Generated Database
House Strong Geliştirme Yatırım A.Ş.,+90 532 702 85 20,https://www.housestronggeli.net.tr,Tülay Koç,Ataşehir,Generated Database
Royal Kiralama Gayrimenkul A.Ş.,+90 541 210 56 31,https://www.royalkiralamaas.info.tr,Kaan Korkmaz,Ataşehir,Generated Database
Future Marketing Ltd.,+90 531 576 29 85,https://www.futuremarketing.org.tr,Serap Korkmaz,Ataşehir,Generated Database
Garden Rental Ltd.,+90 536 384 15 30,https://www.gardenrental.net.tr,Ömer Aydın,Ataşehir,Generated Database
Doğru Development İnş. San. Tic. Ltd. Şti.,+90 532 915 28 33,https://www.dogrudevelopmen.com,Cem Öztürk,Ataşehir,Generated Database
Excellence İnşaat Ltd. Şti.,+90 212 683 37 40,,Yusuf Arslan,Ataşehir,Generated Database
River Millet Development Gayrimenkul A.Ş.,+90 212 609 40 80,https://www.rivermilletdeve.org.tr,,Ataşehir,Generated Database
Orman Trust Kiralama Ltd. Şti.,+90 534 159 20 81,https://www.ormantrustkiral.org.tr,Fatih Tuncer,Ataşehir,Generated Database
Ev Strong Yapı Gayrimenkul A.Ş.,+90 216 522 92 53,https://www.evstrongyapias.org.tr,Hasan Doğan,Ataşehir,Generated Database
Marmara Consulting,+90 537 665 23 76,https://www.marmaraconsulti.com,Osman Güven,Avcılar,Generated Database
Yeşil Danışmanlık A.Ş.,+90 212 781 30 30,https://www.yesildanismanli.org.tr,Fatma Erdoğan,Avcılar,Generated Database
Luxury Yapı San. Tic. A.Ş.,+90 532 285 52 76,https://www.luxuryyapisanti.com.tr,Ali Ateş,Avcılar,Generated Database
Merkez Sales San. Tic. A.Ş.,+90 543 280 65 15,https://www.merkezsalessant.com,Onur Aydın,Avcılar,Generated Database
Halk Kalkınma Emlak,+90 212 382 59 68,https://www.halkkalkinma.com,,Avcılar,Generated Database
Aile Millet Residence Ltd. Şti.,+90 216 482 49 75,,Hüseyin Kurt,Avcılar,Generated Database
Göl Kiralama San. Tic. A.Ş.,+90 547 260 56 29,,Efe Kaya,Avcılar,Generated Database
Vadi İstanbul Consulting İnşaat Ltd. Şti.,+90 533 449 16 83,,Hüseyin Korkmaz,Avcılar,Generated Database
Deniz Residence,+90 544 508 85 23,https://www.denizresidence.com,Hacer Aydın,Avcılar,Generated Database
Industry Gayrimenkul Ltd.,+90 538 242 12 16,https://www.industry.com,Emre Şahin,Avcılar,Generated Database
Modern Proje,+90 532 263 74 87,,Emine Yılmaz,Avcılar,Generated Database
Crystal Sales Yatırım A.Ş.,+90 212 679 61 71,https://www.crystalsalesyat.net.tr,Emine Çetin,Avcılar,Generated Database
Prime Residence Ltd.,+90 536 765 38 59,https://www.primeresidence.net.tr,Dilek Yıldız,Avcılar,Generated Database
Silver Development İnş. San. Tic. Ltd. Şti.,+90 533 452 73 85,https://www.silverdevelopme.info.tr,İbrahim Kurt,Avcılar,Generated Database
Europe Consulting A.Ş.,+90 216 383 24 99,https://www.europeconsultin.org.tr,,Avcılar,Generated Database
Taksim Danışmanlık İnşaat Ltd. Şti.,+90 536 125 36 39,,Gülay Aslan,Avcılar,Generated Database
Superior Residence Yatırım A.Ş.,+90 537 183 97 43,https://www.superiorresiden.org.tr,Filiz Aslan,Avcılar,Generated Database
Crystal Kiralama Gayrimenkul A.Ş.,+90 544 905 52 50,https://www.crystalkiralama.info.tr,,Avcılar,Generated Database
Ev Marketing İnşaat Ltd. Şti.,+90 216 617 26 50,https://www.evmarketinginsa.info.tr,Elif Şahin,Avcılar,Generated Database
Prestij Orman Pazarlama Gayrimenkul A.Ş.,+90 212 673 20 13,https://www.prestijormanpaz.org.tr,Murat Çakır,Avcılar,Generated Database
Nehir Geliştirme San. Tic. A.Ş.,+90 216 561 58 91,https://www.nehirgelistirme.com,Mustafa Aksoy,Avcılar,Generated Database
İleri Proje Ltd.,+90 536 832 89 95,https://www.ileriproje.info.tr,Erkan Öztürk,Avcılar,Generated Database
Lake Consulting İnş. San. Tic. Ltd. Şti.,+90 216 395 37 93,https://www.lakeconsultingi.org.tr,Osman Aktaş,Avcılar,Generated Database
Elite Asia Consulting İnş. San. Tic. Ltd. Şti.,+90 537 730 99 88,https://www.eliteasiaconsul.com,Fatih Aslan,Avcılar,Generated Database
Yuva Sales A.Ş.,+90 539 868 56 35,,Osman Şahin,Avcılar,Generated Database
Yuva Sales Ltd.,+90 530 662 75 32,https://www.yuvasales.info.tr,Hasan Özdemir,Avcılar,Generated Database
Quality Investment İnşaat Ltd. Şti.,+90 534 635 65 80,https://www.qualityinvestme.net.tr,,Bağcılar,Generated Database
Prima Project Ltd.,+90 539 809 29 30,,Can Polat,Bağcılar,Generated Database
İstanbul Golden Horn İnşaat Yatırım A.Ş.,+90 530 527 78 17,,Deniz Şahin,Bağcılar,Generated Database
Merkez Marketing Ltd. Şti.,+90 538 811 43 88,https://www.merkezmarketing.com,Fatih Çelik,Bağcılar,Generated Database
İstanbul Real Estate Ltd. Şti.,+90 536 916 95 73,https://www.istanbulsti.org.tr,Kemal Özdemir,Bağcılar,Generated Database
Korporat İş Investment San. Tic. A.Ş.,+90 546 624 50 26,https://www.korporatisinves.info.tr,Onur Türk,Bağcılar,Generated Database
Secure Gayrimenkul Yatırım A.Ş.,+90 216 912 88 81,https://www.secureyatirimas.net.tr,Mehmet Güven,Bağcılar,Generated Database
Karadeniz Consulting Yatırım A.Ş.,+90 216 894 25 86,https://www.karadenizconsul.org.tr,Mustafa Güler,Bağcılar,Generated Database
Çağdaş Sales İnş. San. Tic. Ltd. Şti.,+90 545 312 27 83,https://www.cagdassalesinss.com.tr,Erkan Aktaş,Bağcılar,Generated Database
Silver Investment Ltd.,+90 536 675 87 92,,Erkan Aktaş,Bağcılar,Generated Database
Select Development Yatırım A.Ş.,+90 549 650 39 74,https://www.selectdevelopme.info.tr,Ali Kaya,Bağcılar,Generated Database
Hakiki Family Consulting A.Ş.,+90 533 716 20 98,https://www.hakikifamilycon.com,Osman Türk,Bağcılar,Generated Database
Bosphorus Kiralama Ltd.,+90 543 127 69 58,https://www.bosphoruskirala.com,Kaan Aydın,Bağcılar,Generated Database
River Kiralama İnş. San. Tic. Ltd. Şti.,+90 216 304 71 35,https://www.riverkiralamain.info.tr,Burak Demir,Bağcılar,Generated Database
Yuva Orman Emlak A.Ş.,+90 216 603 10 47,,,Bağcılar,Generated Database
Innovation Yatırım Yatırım A.Ş.,+90 549 987 45 96,https://www.innovationyatir.com,Serap Çelik,Bağcılar,Generated Database
İstanbul Emlak A.Ş.,+90 216 974 71 33,https://www.istanbulas.com,Filiz Öztürk,Bağcılar,Generated Database
Aile Deniz Residence A.Ş.,+90 216 555 68 70,https://www.ailedenizreside.org.tr,,Bağcılar,Generated Database
Orman Residence San. Tic. A.Ş.,+90 530 124 54 77,,Gülay Çelik,Bağcılar,Generated Database
Diamond Pazarlama Gayrimenkul A.Ş.,+90 530 741 22 23,https://www.diamondpazarlam.com,Fatih Güven,Bağcılar,Generated Database
Finest Real Estate,+90 545 732 44 84,https://www.finest.com.tr,Deniz Kara,Bağcılar,Generated Database
Industry Residence İnş. San. Tic. Ltd. Şti.,+90 216 378 83 92,https://www.industryresiden.com,Ahmet Erdoğan,Bağcılar,Generated Database
Aile Sales Yatırım A.Ş.,+90 536 321 98 28,https://www.ailesalesyatiri.com.tr,Yusuf Demir,Bağcılar,Generated Database
Finest Real Estate A.Ş.,+90 532 106 99 86,https://www.finestas.com,Murat Bayrak,Bağcılar,Generated Database
Platinum Rental İnş. San. Tic. Ltd. Şti.,+90 546 170 10 44,https://www.platinumrentali.org.tr,Osman Öztürk,Bağcılar,Generated Database
Orman Marketing Ltd. Şti.,+90 537 878 67 27,https://www.ormanmarketings.com.tr,Murat Özkan,Bağcılar,Generated Database
Safe Geliştirme Ltd. Şti.,+90 542 561 30 24,https://www.safegelistirmes.com,Burcu Bulut,Bahçelievler,Generated Database
Secure Real Estate Gayrimenkul A.Ş.,+90 536 977 83 66,,,Bahçelievler,Generated Database
Ege Kiralama İnşaat Ltd. Şti.,+90 531 304 74 28,https://www.egekiralamainsa.net.tr,Ömer Aslan,Bahçelievler,Generated Database
Halk Residence San. Tic. A.Ş.,+90 542 509 57 59,https://www.halkresidencesa.com,Hacer Arslan,Bahçelievler,Generated Database
Asia Bizim Konsultant Ltd.,+90 547 430 62 47,,Serpil Korkmaz,Bahçelievler,Generated Database
Merkez Rental San. Tic. A.Ş.,+90 549 111 47 47,https://www.merkezrentalsan.info.tr,Burak Çetin,Bahçelievler,Generated Database
Sea Geliştirme,+90 541 589 78 71,https://www.seagelistirme.net.tr,Gülay Şahin,Bahçelievler,Generated Database
Akdeniz Satış Ltd. Şti.,+90 530 792 47 50,https://www.akdenizsatissti.com,,Bahçelievler,Generated Database
Marmara Rental,+90 534 589 81 37,,Ayşe Kurt,Bahçelievler,Generated Database
Aile Rental A.Ş.,+90 548 105 96 83,https://www.ailerentalas.net.tr,Yusuf Yıldız,Bahçelievler,Generated Database
Yuva Danışmanlık İnşaat Ltd. Şti.,+90 546 157 50 19,,Kemal Ateş,Bahçelievler,Generated Database
Kalkınma Sales Yatırım A.Ş.,+90 533 131 32 23,https://www.kalkinmasalesya.org.tr,,Bahçelievler,Generated Database
Smart Sales San. Tic. A.Ş.,+90 531 234 18 47,https://www.smartsalessanti.org.tr,Osman Aydın,Bahçelievler,Generated Database
Digital Residence Ltd.,+90 532 285 95 30,,,Bahçelievler,Generated Database
Hearth Geliştirme Gayrimenkul A.Ş.,+90 535 353 64 11,,Mustafa Doğan,Bahçelievler,Generated Database
Platinum Danışmanlık Ltd.,+90 212 846 70 36,https://www.platinumdanisma.com.tr,,Bahçelievler,Generated Database
Our Innovation Investment Gayrimenkul A.Ş.,+90 216 814 20 15,https://www.ourinnovationin.com,Emine Polat,Bahçelievler,Generated Database
Strong Proje Ltd. Şti.,+90 212 314 88 56,https://www.strongprojesti.info.tr,,Bahçelievler,Generated Database
Altın Proje Ltd. Şti.,+90 541 127 73 81,https://www.altinprojesti.net.tr,Serkan Kurt,Bahçelievler,Generated Database
Quality Sales Gayrimenkul A.Ş.,+90 548 202 20 15,https://www.qualitysalesas.org.tr,,Bahçelievler,Generated Database
Secure Project İnşaat Ltd. Şti.,+90 547 928 15 28,https://www.secureprojectin.net.tr,Serap Yıldız,Bahçelievler,Generated Database
İleriye Development A.Ş.,+90 546 618 13 86,https://www.ileriyedevelopm.info.tr,Mustafa Aksoy,Bahçelievler,Generated Database
People Real Estate Yatırım A.Ş.,+90 530 225 59 36,https://www.peopleyatirimas.info.tr,,Bahçelievler,Generated Database
İş Sales Ltd. Şti.,+90 537 713 93 46,https://www.issalessti.info.tr,Zeynep Çetin,Bahçelievler,Generated Database
Commercial Gayrimenkul San. Tic. A.Ş.,+90 530 387 73 57,,Onur Aktaş,Bahçelievler,Generated Database
Golden Horn Prime Proje Ltd.,+90 212 513 50 91,https://www.goldenhornprime.org.tr,,Bahçelievler,Generated Database
İleri Doğru Rental Yatırım A.Ş.,+90 545 280 26 69,,,Bakırköy,Generated Database
Vatandaş Geliştirme İnş. San. Tic. Ltd. Şti.,+90 530 315 18 87,https://www.vatandasgelisti.net.tr,,Bakırköy,Generated Database
Home Geliştirme,+90 545 344 97 10,,Deniz Kılıç,Bakırköy,Generated Database
Hakiki Konut Ltd. Şti.,+90 540 572 11 46,https://www.hakikikonutsti.info.tr,,Bakırköy,Generated Database
Prestij Development San. Tic. A.Ş.,+90 548 719 45 21,https://www.prestijdevelopm.net.tr,Emre Kılıç,Bakırköy,Generated Database
Crown Residence A.Ş.,+90 538 549 80 72,https://www.crownresidencea.info.tr,Zeynep Öztürk,Bakırköy,Generated Database
Modern İleriye Konsultant Gayrimenkul A.Ş.,+90 549 709 83 76,https://www.modernileriyeko.info.tr,Efe Ateş,Bakırköy,Generated Database
Endüstri Proje,+90 216 625 61 28,https://www.endustriproje.info.tr,Erkan Korkmaz,Bakırköy,Generated Database
Yeşil Konsultant Yatırım A.Ş.,+90 212 788 32 12,,Fatih Kara,Bakırköy,Generated Database
Güven Home Konut İnşaat Ltd. Şti.,+90 538 237 69 41,,Mustafa Doğan,Bakırköy,Generated Database
Ege Yatırım,+90 549 315 98 72,https://www.egeyatirim.net.tr,Selin Kaya,Bakırköy,Generated Database
Innovation Proje A.Ş.,+90 536 803 12 20,https://www.innovationproje.com,Deniz Demir,Bakırköy,Generated Database
Gelişim Luxury Consulting,+90 541 637 22 36,https://www.gelisimluxuryco.com.tr,Serkan Doğan,Bakırköy,Generated Database
Innovation Prima Konsultant San. Tic. A.Ş.,+90 542 348 34 83,,Filiz Bayrak,Bakırköy,Generated Database
Kalkınma Consulting Gayrimenkul A.Ş.,+90 536 182 31 31,https://www.kalkinmaconsult.com.tr,,Bakırköy,Generated Database
Select İleriye Marketing A.Ş.,+90 535 941 79 61,,Serpil Kılıç,Bakırköy,Generated Database
Sanayi Gold Konsultant,+90 533 916 44 85,https://www.sanayigoldkonsu.com,Kaan Polat,Bakırköy,Generated Database
Yeni Pazarlama Ltd.,+90 531 924 88 69,https://www.yenipazarlama.org.tr,Serap Aslan,Bakırköy,Generated Database
Center Geliştirme İnşaat Ltd. Şti.,+90 547 979 21 89,https://www.centergelistirm.com,Abdullah Kaya,Bakırköy,Generated Database
Future Home Investment Ltd. Şti.,+90 539 986 35 53,,Erkan Işık,Bakırköy,Generated Database
Green Kiralama İnş. San. Tic. Ltd. Şti.,+90 547 923 11 68,,Mustafa Güven,Bakırköy,Generated Database
Quality Residence Ltd. Şti.,+90 548 982 68 49,https://www.qualityresidenc.com.tr,,Bakırköy,Generated Database
Bizim Danışmanlık,+90 212 841 84 56,https://www.bizimdanismanli.com.tr,,Bakırköy,Generated Database
Reliable Consulting,+90 549 796 59 49,https://www.reliableconsult.org.tr,,Bakırköy,Generated Database
Ege Emlak Yatırım A.Ş.,+90 539 628 37 29,https://www.egeyatirimas.info.tr,Cem Aydın,Bakırköy,Generated Database
Finest Sales,+90 216 392 95 28,https://www.finestsales.com.tr,,Bakırköy,Generated Database
Emin Consulting İnşaat Ltd. Şti.,+90 548 315 47 83,https://www.eminconsultingi.com.tr,,Başakşehir,Generated Database
İstanbul Consulting A.Ş.,+90 212 724 94 85,https://www.istanbulconsult.com.tr,,Başakşehir,Generated Database
Crown Proje San. Tic. A.Ş.,+90 532 521 60 81,https://www.crownprojesanti.info.tr,Sevil Güler,Başakşehir,Generated Database
Vatandaş Sales Yatırım A.Ş.,+90 539 808 76 18,https://www.vatandassalesya.org.tr,Hasan Çelik,Başakşehir,Generated Database
Vadi Gayrimenkul Gayrimenkul A.Ş.,+90 543 427 78 81,https://www.vadias.org.tr,Dilek Şahin,Başakşehir,Generated Database
Karadeniz Yatırım,+90 542 452 16 76,https://www.karadenizyatiri.org.tr,Elif Güven,Başakşehir,Generated Database
İleriye Smart Real Estate Gayrimenkul A.Ş.,+90 212 368 15 20,https://www.ileriyesmartas.org.tr,Fatih Güler,Başakşehir,Generated Database
Yeşil Emlak,+90 544 634 67 70,,Serkan Çelik,Başakşehir,Generated Database
Boğaziçi Yatırım Ltd. Şti.,+90 530 621 50 34,https://www.bogaziciyatirim.net.tr,Serkan Polat,Başakşehir,Generated Database
Tepe Satış,+90 530 386 62 48,https://www.tepesatis.com.tr,Deniz Doğan,Başakşehir,Generated Database
Ev Danışmanlık İnşaat Ltd. Şti.,+90 212 925 80 88,https://www.evdanismanlikin.info.tr,Serpil Ateş,Başakşehir,Generated Database
İleriye Merkez Residence A.Ş.,+90 532 274 90 97,,Can Aksoy,Başakşehir,Generated Database
Vatandaş Marketing Gayrimenkul A.Ş.,+90 543 559 34 47,https://www.vatandasmarketi.info.tr,Serkan Yıldız,Başakşehir,Generated Database
Future Yatırım A.Ş.,+90 534 582 89 67,https://www.futureyatirimas.net.tr,Deniz Çetin,Başakşehir,Generated Database
Güvenli Prestij Development Yatırım A.Ş.,+90 538 807 76 34,https://www.guvenliprestijd.com,,Başakşehir,Generated Database
Hill Consulting Ltd.,+90 212 793 78 87,,Hasan Polat,Başakşehir,Generated Database
Next Pazarlama İnşaat Ltd. Şti.,+90 212 536 97 72,https://www.nextpazarlamain.com.tr,Cem Arslan,Başakşehir,Generated Database
Altın Yeşil Kiralama Ltd. Şti.,+90 536 996 61 17,https://www.altinyesilkiral.com.tr,Murat Şahin,Başakşehir,Generated Database
Emin River İnşaat Yatırım A.Ş.,+90 534 137 12 97,,Deniz Çakır,Başakşehir,Generated Database
Center Real Estate İnşaat Ltd. Şti.,+90 212 723 82 87,https://www.centerinsaatsti.org.tr,,Başakşehir,Generated Database
Ticaret Project Ltd. Şti.,+90 540 179 42 16,,Dilek Kara,Başakşehir,Generated Database
Crystal Asia Geliştirme Gayrimenkul A.Ş.,+90 540 602 85 30,https://www.crystalasiageli.com,,Başakşehir,Generated Database
Safe Geliştirme Ltd.,+90 549 140 75 25,,Tülay Erdoğan,Başakşehir,Generated Database
Innovation Residence San. Tic. A.Ş.,+90 534 737 93 23,,,Başakşehir,Generated Database
Taksim Pazarlama Ltd. Şti.,+90 545 312 81 65,https://www.taksimpazarlama.net.tr,İsmail Çelik,Başakşehir,Generated Database
Business Proje Ltd.,+90 543 693 40 44,,Fatih Aslan,Başakşehir,Generated Database
Sanayi Modern Yapı İnşaat Ltd. Şti.,+90 216 617 19 71,https://www.sanayimodernyap.com,Serap Işık,Bayrampaşa,Generated Database
Commercial Kiralama Ltd. Şti.,+90 545 904 88 61,https://www.commercialkiral.net.tr,,Bayrampaşa,Generated Database
Solid Development A.Ş.,+90 212 469 20 46,https://www.soliddevelopmen.org.tr,Deniz Koç,Bayrampaşa,Generated Database
Ev Gayrimenkul Ltd.,+90 540 760 78 71,https://www.evemlak.com.tr,Emre Korkmaz,Bayrampaşa,Generated Database
Corporate Konsultant Yatırım A.Ş.,+90 535 275 23 32,https://www.corporatekonsul.com.tr,Efe Korkmaz,Bayrampaşa,Generated Database
Diamond Pazarlama San. Tic. A.Ş.,+90 531 396 75 24,https://www.diamondpazarlam.com.tr,Ömer Aslan,Bayrampaşa,Generated Database
Diamond Marketing Gayrimenkul A.Ş.,+90 216 748 40 36,,Kaan Şahin,Bayrampaşa,Generated Database
Royal Kiralama Ltd. Şti.,+90 534 306 20 48,https://www.royalkiralamast.info.tr,,Bayrampaşa,Generated Database
Aile Development Ltd. Şti.,+90 534 828 60 53,https://www.ailedevelopment.org.tr,Hatice Özkan,Bayrampaşa,Generated Database
Korporat Project San. Tic. A.Ş.,+90 216 593 39 32,,,Bayrampaşa,Generated Database
Sağlam Emlak Yatırım A.Ş.,+90 212 382 62 41,https://www.saglamyatirimas.org.tr,,Bayrampaşa,Generated Database
Secure Marketing San. Tic. A.Ş.,+90 212 420 16 95,https://www.securemarketing.net.tr,Efe Demir,Bayrampaşa,Generated Database
Forest Real Estate Ltd. Şti.,+90 530 210 58 96,https://www.foreststi.org.tr,,Bayrampaşa,Generated Database
Valley Proje Ltd.,+90 548 932 45 47,https://www.valleyproje.org.tr,Mustafa Koç,Bayrampaşa,Generated Database
