Recipe Name,Category,Region,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings,Difficulty,Notes
Cacio e Pepe,Pasta,Lazio,"400g tonnarelli or spaghetti, 200g Pecorino Romano (finely grated), freshly ground black pepper, salt","1. Cook pasta in salted water until just shy of al dente. 2. Meanwhile, toast black pepper in dry pan. 3. In large bowl, mix grated Pecorino with pepper and small amount of pasta water to form paste. 4. Drain pasta, reserving cooking water. 5. Add pasta to cheese mixture with more pasta water as needed, tossing vigorously to create creamy sauce. 6. Serve immediately with extra pepper and cheese.",5 min,12 min,17 min,4,Medium,"The key is the pasta water - it creates the creamy emulsion. No oil or butter needed."
Pannacotta,Dolci,Piedmont,"500ml heavy cream, 80g sugar, 1 packet gelatin (7g), 3 tbsp water, 1 vanilla bean or 1 tsp vanilla extract","1. Sprinkle gelatin over cold water, let bloom 5 minutes. 2. Heat cream with sugar and vanilla until sugar dissolves. 3. Remove from heat, add bloomed gelatin and stir until dissolved. 4. Strain mixture and divide among 6 ramekins. 5. Refrigerate at least 4 hours until set. 6. Serve with berry coulis or caramel sauce.",15 min,10 min,4 hr 25 min,6,Easy,"Can be made 2 days ahead. Serve with fresh berries or fruit compote."
Saltimbocca alla Romana,Secondi,Lazio,"4 veal cutlets (pounded thin), 4 slices prosciutto, 8 sage leaves, 2 tbsp olive oil, 2 tbsp butter, 100ml dry white wine, salt, pepper, toothpicks","1. Season veal with salt and pepper. 2. Top each cutlet with prosciutto slice and 2 sage leaves. Secure with toothpick. 3. Heat oil and butter in large pan. 4. Cook veal prosciutto-side down first, 3-4 minutes. Flip and cook 2-3 minutes more. 5. Remove veal, deglaze pan with wine. 6. Return veal to pan briefly to coat with sauce. 7. Remove toothpicks and serve immediately.",15 min,10 min,25 min,4,Medium,"Saltimbocca means 'jumps in the mouth' - it should be served immediately for best taste."
Gnocchi alla Sorrentina,Pasta,Campania,"1kg potato gnocchi, 400g San Marzano tomatoes (crushed), 200g fresh mozzarella (cubed), 50g Parmigiano-Reggiano (grated), fresh basil, 3 cloves garlic, olive oil, salt","1. Heat olive oil, sauté garlic until fragrant. 2. Add crushed tomatoes, cook 15 minutes until thickened. Season with salt. 3. Cook gnocchi in salted boiling water until they float. 4. Add gnocchi to tomato sauce with mozzarella cubes. 5. Transfer to baking dish, top with Parmigiano and torn basil. 6. Bake at 200°C for 10 minutes until cheese is melted and bubbly.",20 min,25 min,45 min,4,Easy,"Can be made with homemade or store-bought gnocchi. The key is not to overcook the gnocchi."
Vitello Tonnato,Antipasti,Piedmont,"1kg veal roast, 200g canned tuna, 4 anchovy fillets, 3 egg yolks, 200ml olive oil, 2 tbsp capers, juice of 1 lemon, 1 carrot, 1 onion, 1 celery stalk, white wine, bay leaves","1. Roast veal with vegetables and wine until tender, cool completely. 2. Make tonnato sauce: blend tuna, anchovies, egg yolks, slowly adding oil to make mayonnaise consistency. 3. Add lemon juice and some cooking liquid to thin. 4. Slice veal thinly, arrange on platter. 5. Cover with tonnato sauce and capers. 6. Chill overnight before serving.",30 min,90 min,8 hr,8,Medium,"A classic summer dish from Piedmont. The veal should be served cold."
Ribollita,Zuppa,Tuscany,"400g cannellini beans (dried), 1 bunch kale, 1 bunch Swiss chard, 1 onion, 2 carrots, 2 celery stalks, 4 tomatoes, 4 slices stale bread, olive oil, salt, pepper","1. Soak beans overnight, cook until tender. 2. Sauté onion, carrots, celery in oil. 3. Add tomatoes, cook 10 minutes. 4. Add greens and beans with cooking liquid. 5. Simmer 30 minutes. 6. Layer bread and soup in pot, let rest overnight. 7. Reheat next day (ribollita means 'reboiled'). 8. Serve with olive oil drizzle.",30 min,120 min,12 hr,6,Medium,"Better the next day - the bread thickens the soup. Traditional peasant dish from Tuscany."
Cannoli Siciliani,Dolci,Sicily,"300g flour, 30g sugar, 30g butter, 1 egg, 2 tbsp white wine, pinch salt, oil for frying, 500g ricotta, 200g powdered sugar, chocolate chips, candied fruit, pistachios","1. Make dough with flour, sugar, butter, egg, wine, and salt. Rest 1 hour. 2. Roll very thin, cut circles, wrap around cannoli tubes. 3. Fry in hot oil until golden, cool on tubes. 4. Mix ricotta with powdered sugar for filling. 5. Fill shells just before serving to keep crispy. 6. Garnish ends with chocolate chips or pistachios.",60 min,15 min,75 min,12,Hard,"Never fill shells ahead of time - they'll get soggy. Authentic Sicilian ricotta is key."
Osso Buco Milanese,Secondi,Lombardy,"4 veal shanks, flour, butter, 1 onion, 1 carrot, 1 celery stalk, white wine, beef stock, tomatoes, gremolata (lemon zest, garlic, parsley)","1. Dust veal shanks with flour, brown in butter. 2. Add diced vegetables, cook until soft. 3. Add wine, let reduce. 4. Add tomatoes and stock, cover and braise 2 hours. 5. Make gremolata by mixing lemon zest, minced garlic, and parsley. 6. Serve with gremolata and risotto.",20 min,150 min,170 min,4,Hard,"Gremolata is the traditional garnish that brightens the rich dish."
Focaccia Genovese,Bread,Liguria,"500g bread flour, 10g fresh yeast, 350ml warm water, 100ml olive oil, 10g salt, coarse sea salt, rosemary","1. Dissolve yeast in warm water. 2. Mix flour with dissolved yeast, half the oil, and salt. 3. Knead until smooth, let rise 2 hours. 4. Oil baking pan generously. 5. Stretch dough to fit pan, dimple with fingers. 6. Brush with remaining oil, sprinkle with coarse salt and rosemary. 7. Let rise 1 hour. 8. Bake at 220°C for 20-25 minutes until golden.",30 min,25 min,3 hr 55 min,8,Medium,"The key is lots of olive oil and proper fermentation for the characteristic holes."
Parmigiana di Melanzane,Contorni,Sicily,"3 large eggplants, 500ml tomato sauce, 400g mozzarella (sliced), 150g Parmigiano-Reggiano (grated), fresh basil, flour, eggs, olive oil, salt","1. Slice eggplants 1cm thick, salt and let drain 30 minutes. 2. Pat dry, dust with flour, dip in beaten eggs. 3. Fry until golden on both sides. 4. Layer in baking dish: tomato sauce, eggplant, mozzarella, Parmigiano, basil. Repeat layers. 5. Top with cheese and bake at 180°C for 30 minutes until bubbly. 6. Let rest 10 minutes before serving.",45 min,30 min,75 min,6,Medium,"Some versions use breadcrumbs. Origin disputed between Sicily and Campania."
Polenta Taragna,Contorni,Lombardy,"300g polenta (cornmeal), 1.2L water, 200g mixed mountain cheeses (Taleggio, Gorgonzola), 100g butter, salt","1. Bring salted water to boil in heavy-bottomed pot. 2. Gradually whisk in polenta to prevent lumps. 3. Cook 45 minutes, stirring constantly with wooden spoon. 4. Stir in cheeses and butter until melted. 5. Serve immediately while hot and creamy.",10 min,45 min,55 min,6,Medium,"Traditional dish from Valtellina. The constant stirring is essential for smooth texture."
Frittata di Pasta,Secondi,Campania,"300g leftover spaghetti, 6 eggs, 100g Parmigiano-Reggiano (grated), 100g mozzarella (cubed), olive oil, salt, pepper","1. Beat eggs with grated Parmigiano, salt, and pepper. 2. Mix in cold leftover pasta and mozzarella cubes. 3. Heat oil in non-stick pan. 4. Pour in mixture, cook 8-10 minutes until bottom is set. 5. Flip or finish under broiler to cook top. 6. Serve hot or at room temperature.",10 min,15 min,25 min,4,Easy,"Great way to use leftover pasta. Popular in Naples as street food."
Caponata Siciliana,Contorni,Sicily,"2 eggplants (diced), 3 tomatoes (diced), 1 onion (sliced), 2 celery stalks (diced), 100g green olives, 3 tbsp capers, 3 tbsp pine nuts, 100ml red wine vinegar, 2 tbsp sugar, olive oil, salt","1. Fry diced eggplant until golden, drain on paper towels. 2. Sauté onion and celery until soft. 3. Add tomatoes, cook 10 minutes. 4. Add olives, capers, pine nuts, eggplant. 5. Mix vinegar and sugar, add to pan. 6. Simmer 15 minutes. 7. Serve at room temperature.",30 min,30 min,60 min,6,Medium,"Sicilian sweet and sour vegetable stew. Better after resting overnight."
Carciofi alla Giudia,Contorni,Lazio,"8 Roman artichokes, 2 lemons, olive oil for frying, garlic, parsley, salt, pepper","1. Clean artichokes, remove tough outer leaves. 2. Flatten by pressing down. 3. Soak in lemon water 30 minutes. 4. Fry in hot oil until tender and crispy outside. 5. Season with salt, pepper, garlic, and parsley. 6. Serve immediately while hot.",45 min,15 min,60 min,4,Medium,"Jewish-Roman recipe. Artichokes should be very tender when done."
Baccalà Mantecato,Antipasti,Veneto,"500g salt cod (soaked 48 hours), 200ml olive oil, 2 cloves garlic, parsley, lemon juice, white pepper","1. Boil soaked cod until tender, remove skin and bones. 2. Flake fish finely. 3. Gradually whip in olive oil until creamy. 4. Add minced garlic, parsley, lemon juice. 5. Season with white pepper. 6. Serve on toasted polenta or bread.",20 min,30 min,48 hr 50 min,6,Medium,"Traditional Venetian appetizer. Must be whipped to achieve creamy texture."
Supplì al Telefono,Antipasti,Lazio,"300g risotto rice, 1L beef stock, 100g Parmigiano, 200g mozzarella (cubed), 2 eggs, breadcrumbs, oil for frying","1. Make risotto with rice and stock, cool completely. 2. Mix in Parmigiano and 1 egg. 3. Form balls around mozzarella cubes. 4. Roll in beaten egg then breadcrumbs. 5. Fry until golden. 6. Serve hot.",45 min,10 min,55 min,6,Medium,"Roman street food. Name comes from cheese strings resembling telephone wires."
Pasta alla Norma,Pasta,Sicily,"400g rigatoni, 2 eggplants (cubed), 400g tomato sauce, 150g ricotta salata (grated), fresh basil, olive oil, garlic, salt","1. Cube and salt eggplant, let drain 30 minutes. 2. Fry eggplant until golden. 3. Make tomato sauce with garlic and basil. 4. Cook pasta until al dente. 5. Toss pasta with sauce and eggplant. 6. Serve with ricotta salata and basil.",30 min,25 min,55 min,4,Medium,"Named after Bellini's opera Norma. Ricotta salata is essential."
Sarde a Beccafico,Secondi,Sicily,"20 fresh sardines (cleaned), 100g breadcrumbs, 50g pine nuts, 50g raisins, 1 onion (minced), parsley, olive oil, bay leaves","1. Butterfly sardines, remove bones. 2. Mix breadcrumbs, pine nuts, raisins, onion, parsley with oil. 3. Stuff each sardine with mixture. 4. Roll up and secure with toothpick. 5. Arrange in baking dish with bay leaves. 6. Bake at 180°C for 20 minutes.",45 min,20 min,65 min,4,Medium,"Sicilian specialty. Name means sardines like little birds (beccafico)."
Pasta e Fagioli,Zuppa,Veneto,"300g cannellini beans, 200g ditalini pasta, 2 tbsp olive oil, 1 onion (diced), 2 celery stalks (diced), 2 carrots (diced), 1.5L vegetable stock, rosemary, sage, salt, pepper","1. Soak beans overnight, cook until tender. 2. Sauté vegetables in oil until soft. 3. Add beans with cooking liquid and stock. 4. Simmer 20 minutes, mash some beans to thicken. 5. Add pasta and herbs, cook until al dente. 6. Serve with olive oil drizzle.",20 min,60 min,80 min,6,Easy,"Venetian comfort food. Consistency should be between soup and risotto."
Porchetta,Secondi,Central Italy,"3kg pork belly with skin, 2 tbsp fennel seeds, 4 cloves garlic (minced), rosemary, sage, salt, pepper, olive oil","1. Score pork skin in crosshatch pattern. 2. Mix fennel seeds, garlic, herbs, salt, pepper with oil. 3. Spread mixture over meat side. 4. Roll tightly and tie with kitchen string. 5. Roast at 200°C for 2-3 hours until crispy. 6. Let rest 30 minutes before slicing.",30 min,180 min,210 min,8,Hard,"Traditional central Italian roast. Skin should be very crispy."
Strozzapreti al Pomodoro,Pasta,Emilia-Romagna,"400g strozzapreti pasta, 500g San Marzano tomatoes, 3 cloves garlic, fresh basil, 100g Parmigiano-Reggiano, olive oil, salt","1. Crush tomatoes by hand, removing seeds. 2. Heat oil, sauté garlic until fragrant. 3. Add tomatoes, cook 20 minutes until thickened. 4. Season with salt and torn basil. 5. Cook pasta until al dente. 6. Toss with sauce and serve with Parmigiano.",15 min,25 min,40 min,4,Easy,"Strozzapreti means priest stranglers. Simple sauce lets pasta shine."
Baba au Rhum,Dolci,Campania,"300g flour, 20g fresh yeast, 4 eggs, 100g butter, 50g sugar, salt, rum syrup (water, sugar, rum)","1. Make yeast dough with flour, yeast, eggs, and salt. 2. Knead in softened butter and sugar. 3. Let rise 2 hours. 4. Bake in individual molds at 180°C for 15 minutes. 5. Make syrup with equal parts water and sugar, add rum. 6. Soak babas in syrup before serving.",30 min,15 min,2 hr 45 min,8,Medium,"French-influenced Neapolitan dessert. Should be well-soaked but not soggy."
Scaloppine al Limone,Secondi,Lombardy,"4 veal cutlets (pounded thin), flour for dusting, 3 tbsp butter, 100ml dry white wine, juice of 2 lemons, parsley, salt, pepper","1. Season veal with salt and pepper, dust lightly with flour. 2. Heat butter in large pan until foaming. 3. Cook veal 2-3 minutes per side until golden. 4. Remove veal, deglaze pan with wine and lemon juice. 5. Return veal to pan briefly to coat. 6. Garnish with parsley and serve immediately.",10 min,8 min,18 min,4,Easy,"Classic northern Italian dish. Don't overcook the delicate veal."
Sfogliatelle,Dolci,Campania,"500g flour, 100g lard, 300ml water, salt, 500g ricotta, 200g sugar, 2 eggs, candied fruit, cinnamon, vanilla","1. Make dough with flour, lard, water, and salt. 2. Roll very thin, brush with lard, roll up. 3. Chill 2 hours. 4. Mix ricotta with sugar, eggs, candied fruit, spices. 5. Cut dough into pieces, shape into cones. 6. Fill with ricotta mixture, bake at 200°C until golden.",90 min,25 min,3 hr 55 min,12,Very Hard,"Neapolitan pastry requiring great skill. The layers should be paper-thin."
Acqua Pazza,Secondi,Campania,"4 fish fillets (sea bass or bream), 400g cherry tomatoes, 4 cloves garlic, parsley, oregano, olive oil, white wine, salt, pepper","1. Heat oil in large pan, sauté garlic until fragrant. 2. Add tomatoes, cook until they start to break down. 3. Add fish fillets, season with salt and pepper. 4. Add wine and herbs. 5. Cover and cook 10-15 minutes until fish is cooked. 6. Serve with crusty bread.",15 min,20 min,35 min,4,Easy,"Means crazy water. Simple Neapolitan way to cook fresh fish."
Zuppa Inglese,Dolci,Emilia-Romagna,"300g ladyfingers, 500ml milk, 6 egg yolks, 100g sugar, 50g flour, vanilla, rum, chocolate, candied fruit","1. Make pastry cream with milk, egg yolks, sugar, flour, and vanilla. 2. Divide into portions, flavor one with chocolate. 3. Layer rum-soaked ladyfingers with alternating creams. 4. Chill overnight. 5. Decorate with candied fruit before serving.",45 min,20 min,8 hr 65 min,8,Medium,"Italian trifle. Despite the name (English soup), it's entirely Italian."
Brodetto,Zuppa,Marche,"1kg mixed fish and seafood, 400g tomatoes, 1 onion, 2 cloves garlic, parsley, white wine, olive oil, bread, saffron (optional)","1. Clean and cut fish into portions. 2. Sauté onion and garlic in oil. 3. Add tomatoes, cook 10 minutes. 4. Add firmest fish first, then others by cooking time. 5. Add wine and saffron if using. 6. Simmer until all fish is cooked. 7. Serve with toasted bread.",30 min,25 min,55 min,6,Medium,"Adriatic fish stew. Each port has its own version with local fish."
